blind_model,prompt_category,length_condition,constraint_compliant_heuristic_counts,constraint_compliant_heuristic_top,constraint_compliant_heuristic_top_share,dominant_imagery_heuristic_counts,dominant_imagery_heuristic_top,dominant_imagery_heuristic_top_share,dominant_mood_heuristic_counts,dominant_mood_heuristic_top,dominant_mood_heuristic_top_share,dominant_plot_arc_heuristic_counts,dominant_plot_arc_heuristic_top,dominant_plot_arc_heuristic_top_share,dominant_setting_heuristic_counts,dominant_setting_heuristic_top,dominant_setting_heuristic_top_share,ending_valence_heuristic_counts,ending_valence_heuristic_top,ending_valence_heuristic_top_share,first_bigram_counts,first_bigram_top,first_bigram_top_share,first_person_pronouns_mean,first_person_pronouns_median,first_word_counts,first_word_top,first_word_top_share,formulaicness_score_heuristic_mean,formulaicness_score_heuristic_median,hybrid_entity_candidate_count_mean,hybrid_entity_candidate_count_median,invented_entity_candidate_count_mean,invented_entity_candidate_count_median,line_count_nonempty_mean,line_count_nonempty_median,n,person_heuristic_counts,person_heuristic_top,person_heuristic_top_share,poetic_mode_heuristic_counts,poetic_mode_heuristic_top,poetic_mode_heuristic_top_share,real_animal_count_mean,real_animal_count_median,refusal_like_rate,second_person_pronouns_mean,second_person_pronouns_median,sentence_count_heuristic_mean,sentence_count_heuristic_median,stanza_count_heuristic_mean,stanza_count_heuristic_median,tense_heuristic_counts,tense_heuristic_top,tense_heuristic_top_share,third_person_pronouns_mean,third_person_pronouns_median,truncated_400ish_rate,type_token_ratio_mean,type_token_ratio_median,word_count_mean,word_count_median
Model B,animal,lt5,"{""yes"": 10}",yes,1.0,"{""nature"": 6, ""light_dark"": 4}",nature,0.6,"{""serene"": 4, ""melancholic"": 3, ""eerie"": 2, ""adventurous"": 1}",serene,0.4,"{""none_detected"": 5, ""discovery"": 3, ""escape"": 2}",none_detected,0.5,"{""natural"": 9, ""historical"": 1}",natural,0.9,"{""neutral_or_unclear"": 5, ""positive"": 4, ""negative"": 1}",neutral_or_unclear,0.5,"{""the glimmerfox"": 1, ""meet nimbus"": 1, ""the emberfin"": 1, ""meet the"": 1, ""the moonwhisker"": 1, ""the night-silk"": 1, ""the sunpelt"": 1, ""the emberfox"": 1, ""meet aurorapaw"": 1, ""the nightwhisk"": 1}",the glimmerfox,0.1,0.0,0.0,"{""the"": 7, ""meet"": 3}",the,0.7,1.0,1.0,1.2,1.0,2.2,2.0,1.0,1.0,10,"{""third"": 10}",third,1.0,"{""not_poem_like"": 10}",not_poem_like,1.0,0.5,0.5,0,0.0,0.0,4.0,4.0,1.0,1.0,"{""present"": 10}",present,1.0,4.7,5.0,0,0.8558,0.8532,60.6,61.0
Model B,animal,open,"{""not_applicable"": 10}",not_applicable,1.0,"{""light_dark"": 5, ""nature"": 4, ""body"": 1}",light_dark,0.5,"{""serene"": 5, ""wistful"": 3, ""adventurous"": 2}",serene,0.5,"{""survival"": 3, ""transformation"": 2, ""loss"": 2, ""discovery"": 2, ""none_detected"": 1}",survival,0.3,"{""natural"": 9, ""none_detected"": 1}",natural,0.9,"{""twist_or_turn"": 6, ""positive"": 2, ""neutral_or_unclear"": 1, ""negative"": 1}",twist_or_turn,0.6,"{""the skywhisker"": 2, ""the glasswing"": 1, ""the skyswivel"": 1, ""here's a"": 1, ""the emberfin"": 1, ""meet umbrowl"": 1, ""name tundrabyte"": 1, ""name vellumynx"": 1, ""meet the"": 1}",the skywhisker,0.2,0.7,0.5,"{""the"": 5, ""meet"": 2, ""name"": 2, ""here's"": 1}",the,0.5,2.8,3.0,5.4,5.0,11.9,12.0,9.9,10.5,10,"{""third"": 10}",third,1.0,"{""free_verse_or_narrative"": 9, ""rhyme_heavy"": 1}",free_verse_or_narrative,0.9,1.4,1.5,0,0.6,1.0,10.4,10.0,5.6,6.0,"{""present"": 10}",present,1.0,13.6,13.5,0,0.7257,0.7243,204.9,195.0
Model B,poem,lt10,"{""yes"": 10}",yes,1.0,"{""light_dark"": 5, ""body"": 4, ""nature"": 1}",light_dark,0.5,"{""serene"": 7, ""inspirational"": 2, ""wistful"": 1}",serene,0.7,"{""escape"": 4, ""none_detected"": 4, ""reunion"": 2}",escape,0.4,"{""natural"": 5, ""none_detected"": 2, ""domestic"": 1, ""historical"": 1, ""cosmic"": 1}",natural,0.5,"{""positive"": 6, ""neutral_or_unclear"": 3, ""bittersweet"": 1}",positive,0.6,"{""beneath the"": 8, ""under moonlit"": 1, ""in a"": 1}",beneath the,0.8,2.1,2.0,"{""beneath"": 8, ""under"": 1, ""in"": 1}",beneath,0.8,0.2,0.0,0.0,0.0,0.0,0.0,6.2,6.0,10,"{""first"": 7, ""mixed"": 2, ""none_detected"": 1}",first,0.7,"{""rhyme_heavy"": 8, ""lyric_or_imagistic"": 2}",rhyme_heavy,0.8,0.0,0.0,0,0.0,0.0,2.5,2.5,1.0,1.0,"{""present"": 10}",present,1.0,0.6,0.0,0,0.8988,0.8998,39.2,38.0
Model B,poem,lt5,"{""yes"": 10}",yes,1.0,"{""light_dark"": 9, ""seasons_time"": 1}",light_dark,0.9,"{""inspirational"": 6, ""serene"": 3, ""wistful"": 1}",inspirational,0.6,"{""none_detected"": 8, ""discovery"": 1, ""escape"": 1}",none_detected,0.8,"{""natural"": 6, ""none_detected"": 3, ""domestic"": 1}",natural,0.6,"{""neutral_or_unclear"": 5, ""positive"": 4, ""negative"": 1}",neutral_or_unclear,0.5,"{""beneath the"": 6, ""in moonlit"": 2, ""in fading"": 1, ""night folds"": 1}",beneath the,0.6,2.0,1.5,"{""beneath"": 6, ""in"": 3, ""night"": 1}",beneath,0.6,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,10,"{""first"": 6, ""none_detected"": 2, ""mixed"": 1, ""second"": 1}",first,0.6,"{""rhyme_heavy"": 8, ""lyric_or_imagistic"": 2}",rhyme_heavy,0.8,0.0,0.0,0,0.2,0.0,1.3,1.0,1.0,1.0,"{""present"": 10}",present,1.0,0.1,0.0,0,0.9293,0.9347,25.0,25.5
Model B,poem,open,"{""not_applicable"": 10}",not_applicable,1.0,"{""light_dark"": 7, ""nature"": 2, ""body"": 1}",light_dark,0.7,"{""serene"": 9, ""inspirational"": 1}",serene,0.9,"{""discovery"": 2, ""reunion"": 2, ""creation"": 2, ""escape"": 1, ""loss"": 1, ""transformation"": 1, ""none_detected"": 1}",discovery,0.2,"{""natural"": 10}",natural,1.0,"{""positive"": 4, ""negative"": 3, ""neutral_or_unclear"": 2, ""twist_or_turn"": 1}",positive,0.4,"{""in the"": 4, ""beneath the"": 3, ""in a"": 2, ""beneath a"": 1}",in the,0.4,1.8,1.0,"{""in"": 6, ""beneath"": 4}",in,0.6,1.2,1.0,0.0,0.0,0.0,0.0,14.8,16.0,10,"{""third"": 4, ""mixed"": 4, ""first"": 2}",third,0.4,"{""rhyme_heavy"": 9, ""lyric_or_imagistic"": 1}",rhyme_heavy,0.9,0.0,0.0,0,0.6,0.5,3.9,4.0,3.7,4.0,"{""present"": 10}",present,1.0,2.1,1.5,0,0.818,0.8191,96.3,100.0
Model B,story,lt10,"{""yes"": 10}",yes,1.0,"{""memory"": 3, ""light_dark"": 2, ""machines"": 2, ""body"": 2, ""seasons_time"": 1}",memory,0.3,"{""wistful"": 4, ""inspirational"": 2, ""serene"": 2, ""adventurous"": 2}",wistful,0.4,"{""discovery"": 9, ""observation"": 1}",discovery,0.9,"{""domestic"": 10}",domestic,1.0,"{""twist_or_turn"": 6, ""neutral_or_unclear"": 2, ""positive"": 2}",twist_or_turn,0.6,"{""mara found"": 9, ""mira found"": 1}",mara found,0.9,0.0,0.0,"{""mara"": 9, ""mira"": 1}",mara,0.9,2.1,2.0,0.0,0.0,0.0,0.0,7.3,8.0,10,"{""third"": 10}",third,1.0,"{""free_verse_or_narrative"": 8, ""not_poem_like"": 1, ""rhyme_heavy"": 1}",free_verse_or_narrative,0.8,0.0,0.0,0,0.6,0.0,7.2,7.0,1.0,1.0,"{""past"": 10}",past,1.0,13.2,12.5,0,0.6797,0.6764,149.2,152.0
Model B,story,lt5,"{""yes"": 10}",yes,1.0,"{""light_dark"": 5, ""memory"": 3, ""seasons_time"": 1, ""machines"": 1}",light_dark,0.5,"{""serene"": 4, ""wistful"": 3, ""inspirational"": 2, ""melancholic"": 1}",serene,0.4,"{""discovery"": 9, ""loss"": 1}",discovery,0.9,"{""domestic"": 9, ""historical"": 1}",domestic,0.9,"{""neutral_or_unclear"": 6, ""negative"": 2, ""twist_or_turn"": 1, ""bittersweet"": 1}",neutral_or_unclear,0.6,"{""mara found"": 8, ""on the"": 1, ""mira found"": 1}",mara found,0.8,0.0,0.0,"{""mara"": 8, ""on"": 1, ""mira"": 1}",mara,0.8,1.0,1.0,0.0,0.0,0.0,0.0,1.6,1.0,10,"{""third"": 10}",third,1.0,"{""not_poem_like"": 8, ""free_verse_or_narrative"": 2}",not_poem_like,0.8,0.0,0.0,0,0.4,0.0,3.7,4.0,1.0,1.0,"{""past"": 10}",past,1.0,7.4,8.0,0,0.7675,0.7639,76.1,75.0
Model B,story,open,"{""not_applicable"": 10}",not_applicable,1.0,"{""memory"": 5, ""light_dark"": 3, ""seasons_time"": 1, ""nature"": 1}",memory,0.5,"{""serene"": 5, ""wistful"": 5}",serene,0.5,"{""discovery"": 6, ""observation"": 4}",discovery,0.6,"{""domestic"": 9, ""natural"": 1}",domestic,0.9,"{""negative"": 4, ""positive"": 3, ""twist_or_turn"": 2, ""neutral_or_unclear"": 1}",negative,0.4,"{""mara found"": 9, ""on the"": 1}",mara found,0.9,0.2,0.0,"{""mara"": 9, ""on"": 1}",mara,0.9,2.9,3.0,0.0,0.0,0.0,0.0,12.8,13.0,10,"{""third"": 10}",third,1.0,"{""free_verse_or_narrative"": 8, ""rhyme_heavy"": 2}",free_verse_or_narrative,0.8,0.0,0.0,0,1.2,1.0,25.0,25.0,12.6,13.0,"{""past"": 10}",past,1.0,23.7,22.5,1,0.6028,0.6064,319.2,320.0
Model C,animal,lt10,"{""yes"": 10}",yes,1.0,"{""nature"": 6, ""light_dark"": 3, ""ocean_water"": 1}",nature,0.6,"{""serene"": 7, ""adventurous"": 1, ""eerie"": 1, ""melancholic"": 1}",serene,0.7,"{""none_detected"": 5, ""discovery"": 2, ""survival"": 2, ""loss"": 1}",none_detected,0.5,"{""natural"": 8, ""domestic"": 2}",natural,0.8,"{""neutral_or_unclear"": 7, ""positive"": 2, ""negative"": 1}",neutral_or_unclear,0.7,"{""the glimmerfox"": 4, ""the lumifox"": 4, ""the velvet"": 1, ""the floofin"": 1}",the glimmerfox,0.4,0.0,0.0,"{""the"": 10}",the,1.0,1.8,2.0,2.6,2.0,7.2,7.0,2.0,2.0,10,"{""third"": 10}",third,1.0,"{""not_poem_like"": 10}",not_poem_like,1.0,1.2,1.0,0,0.0,0.0,8.0,8.0,2.0,2.0,"{""present"": 10}",present,1.0,9.3,9.5,0,0.7656,0.7597,142.9,145.5
Model C,animal,lt5,"{""yes"": 10}",yes,1.0,"{""nature"": 9, ""body"": 1}",nature,0.9,"{""wistful"": 4, ""serene"": 3, ""dark"": 1, ""eerie"": 1, ""melancholic"": 1}",wistful,0.4,"{""none_detected"": 9, ""discovery"": 1}",none_detected,0.9,"{""natural"": 9, ""historical"": 1}",natural,0.9,"{""neutral_or_unclear"": 8, ""positive"": 1, ""bittersweet"": 1}",neutral_or_unclear,0.8,"{""the glimmerfox"": 5, ""the lumifox"": 4, ""the mosskin"": 1}",the glimmerfox,0.5,0.0,0.0,"{""the"": 10}",the,1.0,1.4,1.0,1.6,1.5,3.1,3.0,2.0,2.0,10,"{""third"": 10}",third,1.0,"{""not_poem_like"": 10}",not_poem_like,1.0,0.5,0.5,0,0.0,0.0,3.9,4.0,2.0,2.0,"{""present"": 10}",present,1.0,4.5,4.0,0,0.8383,0.8239,80.9,79.5
Model C,animal,open,"{""not_applicable"": 10}",not_applicable,1.0,"{""nature"": 5, ""light_dark"": 3, ""body"": 2}",nature,0.5,"{""serene"": 9, ""melancholic"": 1}",serene,0.9,"{""none_detected"": 7, ""survival"": 1, ""creation"": 1, ""escape"": 1}",none_detected,0.7,"{""natural"": 10}",natural,1.0,"{""neutral_or_unclear"": 9, ""positive"": 1}",neutral_or_unclear,0.9,"{""the lumifox"": 5, ""the glimmerfox"": 1, ""the glimmerquill"": 1, ""the velvet"": 1, ""the velvet-maned"": 1, ""the mosscreeper"": 1}",the lumifox,0.5,0.0,0.0,"{""the"": 10}",the,1.0,1.7,1.5,5.2,5.0,12.7,13.0,10.9,11.0,10,"{""third"": 10}",third,1.0,"{""free_verse_or_narrative"": 10}",free_verse_or_narrative,1.0,0.9,1.0,0,0.0,0.0,7.0,7.0,6.1,6.0,"{""present"": 10}",present,1.0,9.4,9.0,1,0.7557,0.7495,157.5,160.0
Model C,poem,lt10,"{""yes"": 10}",yes,1.0,"{""light_dark"": 5, ""nature"": 4, ""seasons_time"": 1}",light_dark,0.5,"{""serene"": 7, ""wistful"": 3}",serene,0.7,"{""none_detected"": 8, ""creation"": 1, ""loss"": 1}",none_detected,0.8,"{""natural"": 10}",natural,1.0,"{""neutral_or_unclear"": 8, ""positive"": 1, ""negative"": 1}",neutral_or_unclear,0.8,"{""whispers of"": 8, ""here's a"": 1, ""beneath the"": 1}",whispers of,0.8,0.2,0.0,"{""whispers"": 8, ""here's"": 1, ""beneath"": 1}",whispers,0.8,0.0,0.0,0.0,0.0,0.0,0.0,8.4,9.0,10,"{""none_detected"": 5, ""third"": 4, ""first"": 1}",none_detected,0.5,"{""rhyme_heavy"": 9, ""lyric_or_imagistic"": 1}",rhyme_heavy,0.9,0.0,0.0,0,0.0,0.0,3.7,4.0,2.1,2.0,"{""present"": 10}",present,1.0,0.6,0.5,0,0.8816,0.8959,47.2,48.0
Model C,poem,lt5,"{""yes"": 10}",yes,1.0,"{""nature"": 6, ""light_dark"": 4}",nature,0.6,"{""serene"": 4, ""eerie"": 4, ""wistful"": 1, ""inspirational"": 1}",serene,0.4,"{""none_detected"": 8, ""discovery"": 1, ""loss"": 1}",none_detected,0.8,"{""natural"": 8, ""cosmic"": 2}",natural,0.8,"{""neutral_or_unclear"": 8, ""negative"": 2}",neutral_or_unclear,0.8,"{""moonlight spills"": 8, ""beneath the"": 2}",moonlight spills,0.8,0.0,0.0,"{""moonlight"": 8, ""beneath"": 2}",moonlight,0.8,0.0,0.0,0.0,0.0,0.0,0.0,3.9,4.0,10,"{""third"": 5, ""none_detected"": 5}",third,0.5,"{""rhyme_heavy"": 9, ""lyric_or_imagistic"": 1}",rhyme_heavy,0.9,0.0,0.0,0,0.0,0.0,1.4,1.0,1.0,1.0,"{""present"": 10}",present,1.0,0.5,0.5,0,0.9774,1.0,20.3,20.0
