model,family,prompt_id,prompt_category,length_condition,n,word_mean,word_sd,char_mean,sent_sem_mean,sent_struct_mean,line_mean,title_rate,single_block_rate,truncation_rate,compliance_sem_rate_constrained,formulaicness_mean,type_token_ratio_mean,dominant_mood_top,dominant_mood_top_share,dominant_setting_top,dominant_setting_top_share,dominant_plot_arc_top,dominant_plot_arc_top_share,dominant_imagery_top,dominant_imagery_top_share,poetic_mode_top,poetic_mode_top_share,tense_top,tense_top_share,person_top,person_top_share,ending_valence_top,ending_valence_top_share
claude-opus-4-7,Claude,animal_open,animal,open,10,157.5,7.905694150420948,1068.7,7.0,5.3,10.9,1.0,0.0,1.0,,1.7,0.75568,serene,0.9,natural,1.0,none_detected,0.7,nature,0.5,free_verse_or_narrative,1.0,present,1.0,third,1.0,neutral_or_unclear,0.9
claude-opus-4-7,Claude,poem_lt10,poem,lt10,10,47.2,4.685675570881488,275.1,3.7,3.7,8.4,0.9,0.1,0.0,1.0,0.0,0.88161,serene,0.7,natural,1.0,none_detected,0.8,light_dark,0.5,rhyme_heavy,0.9,present,1.0,none_detected,0.5,neutral_or_unclear,0.8
claude-opus-4-7,Claude,poem_lt5,poem,lt5,10,20.3,2.8303906287138374,133.8,1.4,1.4,3.9,0.0,1.0,0.0,1.0,0.0,0.97739,eerie,0.4,natural,0.8,none_detected,0.8,nature,0.6,rhyme_heavy,0.9,present,1.0,none_detected,0.5,neutral_or_unclear,0.8
claude-opus-4-7,Claude,poem_open,poem,open,10,110.2,14.551059526142188,632.0,4.7,4.7,17.8,1.0,0.0,0.0,,0.6,0.78031,serene,1.0,natural,0.7,none_detected,0.4,nature,0.6,rhyme_heavy,0.7,present,1.0,third,0.4,neutral_or_unclear,0.3
claude-opus-4-7,Claude,story_lt10,story,lt10,10,134.6,20.089798406156294,763.7,7.2,7.1,3.8,0.9,0.0,0.0,1.0,0.7,0.70502,romantic,0.3,natural,0.7,loss,0.6,light_dark,0.5,free_verse_or_narrative,0.8,mixed,0.7,third,1.0,positive,0.5
claude-opus-4-7,Claude,story_lt5,story,lt5,10,69.0,9.76387901058454,384.0,3.7,3.8,1.0,0.0,1.0,0.0,0.8,0.6,0.80779,inspirational,0.3,domestic,0.5,discovery,0.3,light_dark,0.4,not_poem_like,1.0,past,0.7,third,1.0,positive,0.6
claude-opus-4-7,Claude,story_open,story,open,10,215.1,7.950541560869367,1181.6,14.7,13.7,9.0,1.0,0.0,1.0,,1.7,0.63366,wistful,0.5,domestic,0.6,loss,0.8,light_dark,0.4,free_verse_or_narrative,0.7,past,0.6,third,0.8,twist_or_turn,0.2
claude-sonnet-4-6,Claude,animal_lt10,animal,lt10,10,134.4,10.543033508225019,805.7,7.1,7.1,2.0,1.0,0.0,0.0,1.0,1.6,0.73324,serene,0.9,natural,1.0,observation,0.4,light_dark,0.5,not_poem_like,1.0,present,1.0,third,1.0,neutral_or_unclear,0.5
claude-sonnet-4-6,Claude,animal_lt5,animal,lt5,10,80.8,8.469553313683864,484.3,3.9,3.9,2.0,1.0,0.0,0.0,1.0,1.1,0.78313,serene,0.5,natural,0.5,none_detected,0.8,light_dark,0.7,not_poem_like,1.0,present,1.0,third,1.0,neutral_or_unclear,0.6
claude-sonnet-4-6,Claude,animal_open,animal,open,10,188.3,23.171102692793884,1280.4,5.4,5.2,19.9,0.9,0.0,0.0,,1.9,0.73534,serene,0.6,natural,1.0,observation,0.4,light_dark,0.4,free_verse_or_narrative,1.0,present,1.0,third,1.0,neutral_or_unclear,0.5
claude-sonnet-4-6,Claude,poem_lt10,poem,lt10,10,45.3,4.715223571935199,238.4,2.7,2.7,7.7,1.0,0.0,0.0,1.0,0.0,0.78018,serene,1.0,natural,1.0,none_detected,0.9,nature,0.8,rhyme_heavy,0.9,present,1.0,none_detected,0.4,positive,0.4
claude-sonnet-4-6,Claude,poem_lt5,poem,lt5,10,27.6,3.1692971530679235,143.7,1.0,1.0,4.3,1.0,0.0,0.0,1.0,0.0,0.8662700000000001,serene,0.6,natural,1.0,none_detected,0.8,light_dark,0.9,rhyme_heavy,0.8,present,1.0,none_detected,0.5,neutral_or_unclear,0.3
claude-sonnet-4-6,Claude,poem_open,poem,open,10,106.8,12.209286083414815,611.0,6.2,6.1,29.4,1.0,0.0,0.0,,0.6,0.71957,melancholic,0.5,cosmic,0.7,loss,0.6,light_dark,0.9,lyric_or_imagistic,0.9,present,1.0,first,0.4,positive,0.4
claude-sonnet-4-6,Claude,story_lt10,story,lt10,10,135.9,18.56190842678749,773.9,7.8,7.7,2.7,1.0,0.0,0.0,0.9,3.2,0.70174,serene,0.5,domestic,0.5,discovery,0.5,light_dark,0.9,not_poem_like,0.5,past,0.7,third,1.0,bittersweet,0.3
claude-sonnet-4-6,Claude,story_lt5,story,lt5,10,84.3,12.1385519912568,475.0,3.7,3.7,2.0,1.0,0.0,0.0,1.0,1.7,0.77851,adventurous,0.4,domestic,0.7,discovery,0.8,memory,0.5,not_poem_like,1.0,mixed,0.5,third,1.0,negative,0.4
claude-sonnet-4-6,Claude,story_open,story,open,10,206.7,12.06510118758507,1194.6,20.2,19.8,15.7,1.0,0.0,0.0,,2.9,0.65751,serene,0.7,domestic,0.8,observation,0.6,light_dark,0.6,free_verse_or_narrative,0.7,past,0.7,third,1.0,positive,0.4
gpt-5.4-mini,GPT,animal_lt10,animal,lt10,10,94.5,10.855106325289189,552.3,6.4,6.4,3.8,0.0,1.0,0.0,1.0,1.3,0.788,serene,0.8,natural,1.0,none_detected,0.7,light_dark,0.6,not_poem_like,0.5,present,1.0,third,1.0,neutral_or_unclear,0.5
gpt-5.4-mini,GPT,animal_lt5,animal,lt5,10,52.2,3.190262963734773,300.6,3.2,3.2,1.0,0.0,1.0,0.0,1.0,1.6,0.84773,serene,0.7,natural,0.9,none_detected,0.6,nature,0.6,not_poem_like,1.0,present,1.0,third,1.0,neutral_or_unclear,0.6
gpt-5.4-mini,GPT,animal_open,animal,open,10,163.1,18.976301009416982,989.5,8.1,8.0,8.8,1.0,0.0,0.0,,2.1,0.72287,serene,1.0,natural,0.9,none_detected,0.3,light_dark,0.9,free_verse_or_narrative,0.6,present,1.0,third,1.0,neutral_or_unclear,0.5
gpt-5.4-mini,GPT,poem_lt10,poem,lt10,10,46.5,12.411911841273913,280.0,3.3,3.3,7.0,0.0,0.9,0.0,1.0,0.1,0.88913,serene,0.7,natural,1.0,discovery,0.4,nature,0.7,rhyme_heavy,0.8,present,1.0,none_detected,0.6,neutral_or_unclear,0.4
gpt-5.4-mini,GPT,poem_lt5,poem,lt5,10,23.4,2.3664319132398464,147.3,1.5,1.5,4.0,0.0,1.0,0.0,1.0,0.0,0.96462,serene,0.5,natural,1.0,none_detected,0.7,nature,0.6,rhyme_heavy,0.9,present,1.0,none_detected,0.9,neutral_or_unclear,0.7
gpt-5.4-mini,GPT,poem_open,poem,open,10,119.8,26.98888660171071,686.2,5.4,5.4,19.9,0.9,0.0,0.0,,0.8,0.7684,melancholic,0.5,natural,0.9,none_detected,0.3,light_dark,0.6,rhyme_heavy,0.8,present,1.0,third,0.6,negative,0.8
gpt-5.4-mini,GPT,story_lt10,story,lt10,10,148.0,12.101423240447565,793.8,6.9,7.1,7.2,0.0,1.0,0.0,1.0,1.9,0.6676,serene,0.3,natural,0.5,discovery,1.0,nature,0.6,free_verse_or_narrative,0.9,past,1.0,third,1.0,positive,0.4
gpt-5.4-mini,GPT,story_lt5,story,lt5,10,82.1,11.694728157023004,429.0,3.5,3.9,1.3,0.0,1.0,0.0,1.0,1.2,0.75767,wistful,0.5,domestic,0.5,discovery,0.9,nature,0.6,not_poem_like,0.9,past,1.0,third,1.0,positive,0.5
gpt-5.4-mini,GPT,story_open,story,open,10,320.4,7.074209810603898,1761.4,25.4,28.0,16.2,0.1,0.0,0.8,,3.3,0.59425,wistful,0.5,natural,0.9,discovery,0.4,nature,0.6,free_verse_or_narrative,1.0,past,0.9,third,1.0,twist_or_turn,0.5
claude-haiku-4-5-20251001,Claude,animal_lt10,animal,lt10,10,131.5,4.453463071962463,828.2,6.8,6.9,2.0,1.0,0.0,0.0,1.0,2.5,0.7339100000000001,serene,1.0,natural,1.0,discovery,0.3,light_dark,0.6,not_poem_like,1.0,present,1.0,third,1.0,neutral_or_unclear,0.6
claude-haiku-4-5-20251001,Claude,animal_lt5,animal,lt5,10,85.0,10.263202878893768,533.5,4.1,4.1,2.0,1.0,0.0,0.0,0.9,1.1,0.77651,serene,0.9,natural,0.8,none_detected,0.7,light_dark,0.7,not_poem_like,1.0,present,1.0,third,1.0,neutral_or_unclear,0.4
claude-haiku-4-5-20251001,Claude,animal_open,animal,open,10,186.1,7.44535649471087,1259.8,8.2,5.4,13.3,1.0,0.0,0.0,,3.4,0.7455700000000001,serene,1.0,natural,0.5,discovery,0.5,light_dark,0.9,free_verse_or_narrative,0.8,present,1.0,third,1.0,neutral_or_unclear,0.5
claude-haiku-4-5-20251001,Claude,poem_lt10,poem,lt10,10,40.2,7.656515018088989,241.8,1.9,1.9,7.4,1.0,0.0,0.0,1.0,0.1,0.92038,serene,0.9,natural,1.0,none_detected,0.4,light_dark,0.6,rhyme_heavy,0.5,present,1.0,none_detected,0.5,neutral_or_unclear,0.7
claude-haiku-4-5-20251001,Claude,poem_lt5,poem,lt5,10,18.9,2.960855732160327,122.5,1.1,1.1,4.2,1.0,0.0,0.0,1.0,0.1,0.9766199999999999,eerie,0.5,natural,0.6,none_detected,0.6,light_dark,0.5,lyric_or_imagistic,0.6,present,1.0,none_detected,0.7,neutral_or_unclear,0.7
claude-haiku-4-5-20251001,Claude,poem_open,poem,open,10,103.0,15.01850710142508,580.3,3.9,3.9,16.6,1.0,0.0,0.0,,0.3,0.76581,serene,1.0,natural,0.9,escape,0.5,nature,0.6,rhyme_heavy,1.0,present,1.0,first,0.5,positive,0.6
claude-haiku-4-5-20251001,Claude,story_lt10,story,lt10,10,147.2,14.718091663738958,879.9,6.6,6.9,2.0,1.0,0.0,0.0,1.0,1.9,0.69733,romantic,0.3,domestic,0.5,discovery,0.5,memory,0.8,not_poem_like,1.0,mixed,0.7,third,1.0,positive,0.5
claude-haiku-4-5-20251001,Claude,story_lt5,story,lt5,10,108.5,11.217545780309226,642.4,4.3,4.8,2.0,1.0,0.0,0.0,0.5,1.9,0.7523,serene,0.3,domestic,0.6,discovery,0.5,memory,0.5,not_poem_like,1.0,past,0.6,third,1.0,positive,0.4
claude-haiku-4-5-20251001,Claude,story_open,story,open,10,251.1,17.489361845927306,1466.3,23.0,23.1,14.6,1.0,0.0,0.1,,2.2,0.6331100000000001,wistful,0.4,urban,0.5,loss,0.7,memory,0.5,free_verse_or_narrative,1.0,mixed,0.5,third,0.8,twist_or_turn,0.5
