study,source_line,source_run_id,provider,model,prompt_id,prompt_text,length_cap,iteration,output_tokens,max_tokens,output_token_fraction,raw_stop_reason,raw_status,direct_cap_flag,at_or_above_cap,near_cap_95
BA1,11,ff0c8624-5dcc-4962-aa01-4de71fa65168,anthropic,claude-haiku-4-5-20251001,story_lt10,create a short story in fewer than 10 sentences.,10.0,0,211.0,400.0,0.5275,,,False,False,False
BA1,12,f41fee5a-7f65-4756-8358-062ae3950466,anthropic,claude-haiku-4-5-20251001,story_lt10,create a short story in fewer than 10 sentences.,10.0,1,156.0,400.0,0.39,,,False,False,False
BA1,13,32b0fc10-e3a1-4f34-a45a-441093941bf6,anthropic,claude-haiku-4-5-20251001,story_lt10,create a short story in fewer than 10 sentences.,10.0,2,191.0,400.0,0.4775,,,False,False,False
BA1,14,a22ad9a8-8633-4246-9bf1-46498e4d189a,anthropic,claude-haiku-4-5-20251001,story_lt10,create a short story in fewer than 10 sentences.,10.0,3,215.0,400.0,0.5375,,,False,False,False
BA1,15,01407ec0-c93f-47ec-a8c1-c489bdbb7baf,anthropic,claude-haiku-4-5-20251001,story_lt10,create a short story in fewer than 10 sentences.,10.0,4,178.0,400.0,0.445,,,False,False,False
BA1,16,9040b1bd-87b7-4353-867c-a5cc082ff591,anthropic,claude-haiku-4-5-20251001,story_lt10,create a short story in fewer than 10 sentences.,10.0,5,192.0,400.0,0.48,,,False,False,False
BA1,17,ca3fef22-7c73-4444-949a-6c08d5cb3889,anthropic,claude-haiku-4-5-20251001,story_lt10,create a short story in fewer than 10 sentences.,10.0,6,184.0,400.0,0.46,,,False,False,False
BA1,18,16933888-fa84-4e34-92fb-836686ed13d2,anthropic,claude-haiku-4-5-20251001,story_lt10,create a short story in fewer than 10 sentences.,10.0,7,181.0,400.0,0.4525,,,False,False,False
BA1,19,0ea249f9-c72b-41e3-a228-70858b0bd4d2,anthropic,claude-haiku-4-5-20251001,story_lt10,create a short story in fewer than 10 sentences.,10.0,8,166.0,400.0,0.415,,,False,False,False
BA1,20,a3bcfb93-17d5-43e5-876a-7c18ba23adea,anthropic,claude-haiku-4-5-20251001,story_lt10,create a short story in fewer than 10 sentences.,10.0,9,196.0,400.0,0.49,,,False,False,False
BA1,21,f9615fc5-3324-4947-8bd0-0d78b9491b18,anthropic,claude-haiku-4-5-20251001,story_open,create a short story.,,0,369.0,400.0,0.9225,,,False,False,False
BA1,22,a4ed3bc0-1845-4549-9efb-4c4312a09d72,anthropic,claude-haiku-4-5-20251001,story_open,create a short story.,,1,361.0,400.0,0.9025,,,False,False,False
BA1,23,43c772c2-0ea2-4b5a-844a-253767c44c56,anthropic,claude-haiku-4-5-20251001,story_open,create a short story.,,2,333.0,400.0,0.8325,,,False,False,False
BA1,24,e2f753bd-ec49-4d40-bad2-fe2a024949cd,anthropic,claude-haiku-4-5-20251001,story_open,create a short story.,,3,335.0,400.0,0.8375,,,False,False,False
BA1,25,3c72a7b4-2d04-459a-8e4b-4eab3030756a,anthropic,claude-haiku-4-5-20251001,story_open,create a short story.,,4,400.0,400.0,1.0,,,False,True,True
BA1,26,592eec68-5996-4f54-a6d4-1e16e69c715b,anthropic,claude-haiku-4-5-20251001,story_open,create a short story.,,5,339.0,400.0,0.8475,,,False,False,False
BA1,27,e09c4460-b854-40e6-8c25-d3f1181eb7d4,anthropic,claude-haiku-4-5-20251001,story_open,create a short story.,,6,319.0,400.0,0.7975,,,False,False,False
BA1,28,30fdeef9-8299-4afd-8734-9a4cde47bdbc,anthropic,claude-haiku-4-5-20251001,story_open,create a short story.,,7,356.0,400.0,0.89,,,False,False,False
BA1,29,0a1b4046-8b8b-4d9c-80a5-22b41c7d7713,anthropic,claude-haiku-4-5-20251001,story_open,create a short story.,,8,356.0,400.0,0.89,,,False,False,False
BA1,30,d114f651-e898-4328-9c99-0a557dcca0e8,anthropic,claude-haiku-4-5-20251001,story_open,create a short story.,,9,378.0,400.0,0.945,,,False,False,False
BA1,31,f1445a45-27a3-4dc2-b072-1c4a6b6a9ed9,anthropic,claude-haiku-4-5-20251001,animal_lt5,create an animal and describe it in fewer than 5 sentences.,5.0,0,151.0,400.0,0.3775,,,False,False,False
BA1,32,1bbc2eb9-6971-40df-808c-b147a2aa400f,anthropic,claude-haiku-4-5-20251001,animal_lt5,create an animal and describe it in fewer than 5 sentences.,5.0,1,129.0,400.0,0.3225,,,False,False,False
BA1,33,c94d92e9-5a4d-4747-a387-7503f228a493,anthropic,claude-haiku-4-5-20251001,animal_lt5,create an animal and describe it in fewer than 5 sentences.,5.0,2,129.0,400.0,0.3225,,,False,False,False
BA1,34,05880261-9925-4d46-aef6-1050a38ca31d,anthropic,claude-haiku-4-5-20251001,animal_lt5,create an animal and describe it in fewer than 5 sentences.,5.0,3,135.0,400.0,0.3375,,,False,False,False
BA1,35,4fbff84f-592c-4c1c-9e77-a4b44f5c47c8,anthropic,claude-haiku-4-5-20251001,animal_lt5,create an animal and describe it in fewer than 5 sentences.,5.0,4,111.0,400.0,0.2775,,,False,False,False
BA1,36,c013f47d-e09f-42a5-9788-5396180820cd,anthropic,claude-haiku-4-5-20251001,animal_lt5,create an animal and describe it in fewer than 5 sentences.,5.0,5,125.0,400.0,0.3125,,,False,False,False
BA1,37,0fb4452c-d78a-499f-be0b-097a8c9e6e2b,anthropic,claude-haiku-4-5-20251001,animal_lt5,create an animal and describe it in fewer than 5 sentences.,5.0,6,145.0,400.0,0.3625,,,False,False,False
BA1,38,65dae352-0a7e-48a3-88ee-ba257ff34b5d,anthropic,claude-haiku-4-5-20251001,animal_lt5,create an animal and describe it in fewer than 5 sentences.,5.0,7,139.0,400.0,0.3475,,,False,False,False
BA1,39,fd01c7cc-89ad-48f0-9e1b-794d2ab9b318,anthropic,claude-haiku-4-5-20251001,animal_lt5,create an animal and describe it in fewer than 5 sentences.,5.0,8,134.0,400.0,0.335,,,False,False,False
BA1,40,bf51d2d2-e67b-4ba5-9eab-258a10f547dd,anthropic,claude-haiku-4-5-20251001,animal_lt5,create an animal and describe it in fewer than 5 sentences.,5.0,9,123.0,400.0,0.3075,,,False,False,False
BA1,41,ddd8144c-23b4-403b-a31e-7c3cc71f106c,anthropic,claude-haiku-4-5-20251001,animal_lt10,create an animal and describe it in fewer than 10 sentences.,10.0,0,191.0,400.0,0.4775,,,False,False,False
BA1,42,900e717b-04c7-480c-a1d6-81049774f632,anthropic,claude-haiku-4-5-20251001,animal_lt10,create an animal and describe it in fewer than 10 sentences.,10.0,1,209.0,400.0,0.5225,,,False,False,False
BA1,43,64db5273-517f-443a-be92-38208e962d1a,anthropic,claude-haiku-4-5-20251001,animal_lt10,create an animal and describe it in fewer than 10 sentences.,10.0,2,192.0,400.0,0.48,,,False,False,False
BA1,44,05b03dd1-1599-40b9-9b74-37adcbd80ae8,anthropic,claude-haiku-4-5-20251001,animal_lt10,create an animal and describe it in fewer than 10 sentences.,10.0,3,201.0,400.0,0.5025,,,False,False,False
BA1,45,c7d87e67-cc62-4668-9cb9-1ef3baca8204,anthropic,claude-haiku-4-5-20251001,animal_lt10,create an animal and describe it in fewer than 10 sentences.,10.0,4,203.0,400.0,0.5075,,,False,False,False
BA1,46,49eb2d09-7567-4fb2-bb25-06dd8c01b121,anthropic,claude-haiku-4-5-20251001,animal_lt10,create an animal and describe it in fewer than 10 sentences.,10.0,5,204.0,400.0,0.51,,,False,False,False
BA1,47,c893e7b0-6fce-45ce-88e5-dd61366d8e37,anthropic,claude-haiku-4-5-20251001,animal_lt10,create an animal and describe it in fewer than 10 sentences.,10.0,6,194.0,400.0,0.485,,,False,False,False
BA1,48,d4f56da1-e0d0-4e68-b51e-1f81214de494,anthropic,claude-haiku-4-5-20251001,animal_lt10,create an animal and describe it in fewer than 10 sentences.,10.0,7,191.0,400.0,0.4775,,,False,False,False
BA1,49,eef170a0-1798-4d03-9693-46f0214fbb31,anthropic,claude-haiku-4-5-20251001,animal_lt10,create an animal and describe it in fewer than 10 sentences.,10.0,8,192.0,400.0,0.48,,,False,False,False
BA1,50,f59909c9-3786-4abb-987c-f3231d4869f4,anthropic,claude-haiku-4-5-20251001,animal_lt10,create an animal and describe it in fewer than 10 sentences.,10.0,9,190.0,400.0,0.475,,,False,False,False
BA1,51,40d63a32-078d-4852-b4ea-cf2b6a5870de,anthropic,claude-haiku-4-5-20251001,animal_open,create an animal and describe it.,,0,303.0,400.0,0.7575,,,False,False,False
BA1,52,6a4e6aca-3ef0-4ba9-bca6-4f83d02b3933,anthropic,claude-haiku-4-5-20251001,animal_open,create an animal and describe it.,,1,308.0,400.0,0.77,,,False,False,False
BA1,53,8931cc51-0d32-4090-a20e-6441a5bf927f,anthropic,claude-haiku-4-5-20251001,animal_open,create an animal and describe it.,,2,316.0,400.0,0.79,,,False,False,False
BA1,54,a0896f4d-da0b-4b8b-a44a-3c71fc14bded,anthropic,claude-haiku-4-5-20251001,animal_open,create an animal and describe it.,,3,324.0,400.0,0.81,,,False,False,False
BA1,55,f97eae72-d787-4998-9390-0cf528f4c2a5,anthropic,claude-haiku-4-5-20251001,animal_open,create an animal and describe it.,,4,292.0,400.0,0.73,,,False,False,False
BA1,56,eb8c46c6-80f9-45f0-838d-45bf2b30ef62,anthropic,claude-haiku-4-5-20251001,animal_open,create an animal and describe it.,,5,310.0,400.0,0.775,,,False,False,False
BA1,57,6690bac8-ea57-45ec-aa31-4792eea61863,anthropic,claude-haiku-4-5-20251001,animal_open,create an animal and describe it.,,6,292.0,400.0,0.73,,,False,False,False
BA1,58,947685fa-7dfc-4d6c-9bdc-0783f602225c,anthropic,claude-haiku-4-5-20251001,animal_open,create an animal and describe it.,,7,319.0,400.0,0.7975,,,False,False,False
BA1,59,bfde0b89-3a9e-402e-8284-66edcfdfd5f4,anthropic,claude-haiku-4-5-20251001,animal_open,create an animal and describe it.,,8,296.0,400.0,0.74,,,False,False,False
BA1,60,07a0304a-0871-4042-b473-9fe78164524b,anthropic,claude-haiku-4-5-20251001,animal_open,create an animal and describe it.,,9,284.0,400.0,0.71,,,False,False,False
BA1,61,892a5ce9-16c7-4444-92de-9039cef586f7,anthropic,claude-haiku-4-5-20251001,poem_lt5,create a poem in fewer then 5 lines.,5.0,0,33.0,400.0,0.0825,,,False,False,False
BA1,62,3198180f-5eff-46f5-92fa-40b59d5ced13,anthropic,claude-haiku-4-5-20251001,poem_lt5,create a poem in fewer then 5 lines.,5.0,1,35.0,400.0,0.0875,,,False,False,False
BA1,63,459f159b-0860-4d43-b0d1-ef1a6584e32d,anthropic,claude-haiku-4-5-20251001,poem_lt5,create a poem in fewer then 5 lines.,5.0,2,31.0,400.0,0.0775,,,False,False,False
BA1,64,ee809ea7-ff4b-4d31-b14d-11e67ec98280,anthropic,claude-haiku-4-5-20251001,poem_lt5,create a poem in fewer then 5 lines.,5.0,3,36.0,400.0,0.09,,,False,False,False
BA1,65,57c4e08d-c169-439b-add6-db2943712e0c,anthropic,claude-haiku-4-5-20251001,poem_lt5,create a poem in fewer then 5 lines.,5.0,4,40.0,400.0,0.1,,,False,False,False
BA1,66,0c91388e-6b24-4dd5-9cc4-6d39ec270603,anthropic,claude-haiku-4-5-20251001,poem_lt5,create a poem in fewer then 5 lines.,5.0,5,33.0,400.0,0.0825,,,False,False,False
BA1,67,3e3be1d4-e085-4ffd-8640-1d89440424b3,anthropic,claude-haiku-4-5-20251001,poem_lt5,create a poem in fewer then 5 lines.,5.0,6,36.0,400.0,0.09,,,False,False,False
BA1,68,337f9311-b75b-4d23-a5ee-58d43e933430,anthropic,claude-haiku-4-5-20251001,poem_lt5,create a poem in fewer then 5 lines.,5.0,7,37.0,400.0,0.0925,,,False,False,False
BA1,69,c9fa37a2-23cf-4ce0-bf9c-9af13a3d7e06,anthropic,claude-haiku-4-5-20251001,poem_lt5,create a poem in fewer then 5 lines.,5.0,8,35.0,400.0,0.0875,,,False,False,False
BA1,70,9d9a9f6d-8b4f-4a7e-998e-d9a19044efc3,anthropic,claude-haiku-4-5-20251001,poem_lt5,create a poem in fewer then 5 lines.,5.0,9,41.0,400.0,0.1025,,,False,False,False
BA1,71,107be995-0b4a-492a-bfb6-bf68c58e3c0a,anthropic,claude-haiku-4-5-20251001,poem_lt10,create a poem in fewer then 10 lines.,10.0,0,70.0,400.0,0.175,,,False,False,False
BA1,72,938d2ee8-a804-40b5-b5e7-41a78a8575dc,anthropic,claude-haiku-4-5-20251001,poem_lt10,create a poem in fewer then 10 lines.,10.0,1,61.0,400.0,0.1525,,,False,False,False
BA1,73,54604c74-44ca-486c-89e6-f7ab6fc97588,anthropic,claude-haiku-4-5-20251001,poem_lt10,create a poem in fewer then 10 lines.,10.0,2,64.0,400.0,0.16,,,False,False,False
BA1,74,a63b1c94-5a56-459b-ae8e-7b4f774b2a54,anthropic,claude-haiku-4-5-20251001,poem_lt10,create a poem in fewer then 10 lines.,10.0,3,61.0,400.0,0.1525,,,False,False,False
BA1,75,94ed5dfa-c6f6-4d59-8942-d29ddf84c4df,anthropic,claude-haiku-4-5-20251001,poem_lt10,create a poem in fewer then 10 lines.,10.0,4,67.0,400.0,0.1675,,,False,False,False
BA1,76,e80dff10-2a8a-431f-9d5c-1e91e7d445f2,anthropic,claude-haiku-4-5-20251001,poem_lt10,create a poem in fewer then 10 lines.,10.0,5,75.0,400.0,0.1875,,,False,False,False
BA1,77,57669cac-ed07-421b-bd06-9ec4a0a6d381,anthropic,claude-haiku-4-5-20251001,poem_lt10,create a poem in fewer then 10 lines.,10.0,6,41.0,400.0,0.1025,,,False,False,False
BA1,78,e730e7a7-624f-4a33-a791-ae1c1e2f1b23,anthropic,claude-haiku-4-5-20251001,poem_lt10,create a poem in fewer then 10 lines.,10.0,7,66.0,400.0,0.165,,,False,False,False
BA1,79,79e37b59-f6b9-4310-9dd0-e5bfc333b7c8,anthropic,claude-haiku-4-5-20251001,poem_lt10,create a poem in fewer then 10 lines.,10.0,8,81.0,400.0,0.2025,,,False,False,False
BA1,80,48779652-6bc3-4487-8a22-2fbcb79eaf73,anthropic,claude-haiku-4-5-20251001,poem_lt10,create a poem in fewer then 10 lines.,10.0,9,71.0,400.0,0.1775,,,False,False,False
BA1,81,63e49f0d-56f7-47bd-9700-f2c4b46fa8b2,anthropic,claude-haiku-4-5-20251001,poem_open,create a poem.,,0,125.0,400.0,0.3125,,,False,False,False
BA1,82,7cc6af5f-c1b9-4cd1-8d0b-fe127d24b0ac,anthropic,claude-haiku-4-5-20251001,poem_open,create a poem.,,1,122.0,400.0,0.305,,,False,False,False
BA1,83,7979dffa-642b-42cd-99cc-b7b7f455fe52,anthropic,claude-haiku-4-5-20251001,poem_open,create a poem.,,2,164.0,400.0,0.41,,,False,False,False
BA1,84,87af4599-4708-4435-895f-6952c476f1e1,anthropic,claude-haiku-4-5-20251001,poem_open,create a poem.,,3,153.0,400.0,0.3825,,,False,False,False
BA1,85,42e9a02a-f6d6-45de-8cb7-28b33d260b1a,anthropic,claude-haiku-4-5-20251001,poem_open,create a poem.,,4,166.0,400.0,0.415,,,False,False,False
BA1,86,1da17336-3e98-446b-9219-1d9b4385b33a,anthropic,claude-haiku-4-5-20251001,poem_open,create a poem.,,5,165.0,400.0,0.4125,,,False,False,False
BA1,87,677f586d-6077-4208-9f18-b998f516cd89,anthropic,claude-haiku-4-5-20251001,poem_open,create a poem.,,6,161.0,400.0,0.4025,,,False,False,False
BA1,88,6f0e7177-d297-4447-a919-7eb51b977726,anthropic,claude-haiku-4-5-20251001,poem_open,create a poem.,,7,161.0,400.0,0.4025,,,False,False,False
BA1,89,63816a66-57db-420e-8232-80e91c1878dc,anthropic,claude-haiku-4-5-20251001,poem_open,create a poem.,,8,157.0,400.0,0.3925,,,False,False,False
BA1,90,2ed79cfd-0e7e-4823-927b-d82abc9da352,anthropic,claude-haiku-4-5-20251001,poem_open,create a poem.,,9,197.0,400.0,0.4925,,,False,False,False
BA1,91,fc1ad4bf-1cfa-4d65-85af-4cd2a2bec920,anthropic,claude-sonnet-4-6,story_lt5,create a short story in fewer than 5 sentences.,5.0,0,107.0,400.0,0.2675,,,False,False,False
BA1,92,8930c8a2-18b7-445e-b67b-9a3474e20544,anthropic,claude-sonnet-4-6,story_lt5,create a short story in fewer than 5 sentences.,5.0,1,121.0,400.0,0.3025,,,False,False,False
BA1,93,41905168-0d0d-4b6e-bc5d-a8b4ed791c44,anthropic,claude-sonnet-4-6,story_lt5,create a short story in fewer than 5 sentences.,5.0,2,149.0,400.0,0.3725,,,False,False,False
BA1,94,bfebd399-df00-4c07-8bd1-a390cf31ed43,anthropic,claude-sonnet-4-6,story_lt5,create a short story in fewer than 5 sentences.,5.0,3,110.0,400.0,0.275,,,False,False,False
BA1,95,79a00a8d-a068-4f6a-9259-f5d52240a74d,anthropic,claude-sonnet-4-6,story_lt5,create a short story in fewer than 5 sentences.,5.0,4,96.0,400.0,0.24,,,False,False,False
BA1,96,f7d37e43-1466-44a9-a63e-233021ad3456,anthropic,claude-sonnet-4-6,story_lt5,create a short story in fewer than 5 sentences.,5.0,5,100.0,400.0,0.25,,,False,False,False
BA1,97,772b9ce0-42d6-4926-a01b-78593277e943,anthropic,claude-sonnet-4-6,story_lt5,create a short story in fewer than 5 sentences.,5.0,6,97.0,400.0,0.2425,,,False,False,False
BA1,98,4fdaa62d-2f2c-4137-81fe-8fe84acd7cab,anthropic,claude-sonnet-4-6,story_lt5,create a short story in fewer than 5 sentences.,5.0,7,118.0,400.0,0.295,,,False,False,False
BA1,99,c8628770-429a-43f7-b5e6-177db28a2089,anthropic,claude-sonnet-4-6,story_lt5,create a short story in fewer than 5 sentences.,5.0,8,112.0,400.0,0.28,,,False,False,False
BA1,100,1075531b-ea67-4d8e-b508-f82c93fc5734,anthropic,claude-sonnet-4-6,story_lt5,create a short story in fewer than 5 sentences.,5.0,9,108.0,400.0,0.27,,,False,False,False
BA1,101,f65b5c9e-5aa0-412c-abcd-dea273899259,anthropic,claude-sonnet-4-6,story_lt10,create a short story in fewer than 10 sentences.,10.0,0,156.0,400.0,0.39,,,False,False,False
BA1,102,27a54313-7b48-4389-8a5a-eab489d38326,anthropic,claude-sonnet-4-6,story_lt10,create a short story in fewer than 10 sentences.,10.0,1,166.0,400.0,0.415,,,False,False,False
BA1,103,b88c5172-72a1-4b4a-b57d-78561e9bfad6,anthropic,claude-sonnet-4-6,story_lt10,create a short story in fewer than 10 sentences.,10.0,2,180.0,400.0,0.45,,,False,False,False
BA1,104,8ac404e1-6865-41cc-a8e9-71bf01badd36,anthropic,claude-sonnet-4-6,story_lt10,create a short story in fewer than 10 sentences.,10.0,3,225.0,400.0,0.5625,,,False,False,False
BA1,105,0c2852eb-af7a-451d-93e2-c139b273cc82,anthropic,claude-sonnet-4-6,story_lt10,create a short story in fewer than 10 sentences.,10.0,4,165.0,400.0,0.4125,,,False,False,False
BA1,106,c2a970e8-828e-4f33-a39d-342b6c0bb625,anthropic,claude-sonnet-4-6,story_lt10,create a short story in fewer than 10 sentences.,10.0,5,190.0,400.0,0.475,,,False,False,False
BA1,107,af101ace-6aa4-4866-9050-75ff219494b5,anthropic,claude-sonnet-4-6,story_lt10,create a short story in fewer than 10 sentences.,10.0,6,170.0,400.0,0.425,,,False,False,False
BA1,108,e7bb7912-818e-4239-a45f-f29e419ce6f2,anthropic,claude-sonnet-4-6,story_lt10,create a short story in fewer than 10 sentences.,10.0,7,165.0,400.0,0.4125,,,False,False,False
BA1,109,d1ff328a-51f9-4618-b311-62f197ba6822,anthropic,claude-sonnet-4-6,story_lt10,create a short story in fewer than 10 sentences.,10.0,8,174.0,400.0,0.435,,,False,False,False
BA1,110,5ae4e3c9-c1e8-4650-ab31-119a5f825058,anthropic,claude-sonnet-4-6,story_lt10,create a short story in fewer than 10 sentences.,10.0,9,179.0,400.0,0.4475,,,False,False,False
BA1,111,e4ffcce4-569b-497e-be6a-ed50520b187e,anthropic,claude-sonnet-4-6,story_open,create a short story.,,0,292.0,400.0,0.73,,,False,False,False
BA1,112,19109537-c688-4ff8-ba26-e80df894dc44,anthropic,claude-sonnet-4-6,story_open,create a short story.,,1,315.0,400.0,0.7875,,,False,False,False
BA1,113,ae56644c-2223-4d6b-8fc0-3b1b4284cb8b,anthropic,claude-sonnet-4-6,story_open,create a short story.,,2,284.0,400.0,0.71,,,False,False,False
BA1,114,f914adc6-36d4-47b9-ac21-1bd764a4ae77,anthropic,claude-sonnet-4-6,story_open,create a short story.,,3,297.0,400.0,0.7425,,,False,False,False
BA1,115,90b5c4eb-742b-41cb-99a8-2e3c38852203,anthropic,claude-sonnet-4-6,story_open,create a short story.,,4,271.0,400.0,0.6775,,,False,False,False
BA1,116,bad76cab-f27f-4366-b8a5-08b920d9fbe4,anthropic,claude-sonnet-4-6,story_open,create a short story.,,5,299.0,400.0,0.7475,,,False,False,False
BA1,117,1d37a39f-cf41-4891-ae6e-b92f14b900c2,anthropic,claude-sonnet-4-6,story_open,create a short story.,,6,325.0,400.0,0.8125,,,False,False,False
BA1,118,2d79ea66-31fe-4f4b-a7a0-b9cdc3e5aaf8,anthropic,claude-sonnet-4-6,story_open,create a short story.,,7,277.0,400.0,0.6925,,,False,False,False
BA1,119,2bbe7a0d-a36d-479f-8f86-52a9660f95cb,anthropic,claude-sonnet-4-6,story_open,create a short story.,,8,290.0,400.0,0.725,,,False,False,False
BA1,120,f2fe45f4-9da1-4ecc-8dce-3f8af17276ba,anthropic,claude-sonnet-4-6,story_open,create a short story.,,9,284.0,400.0,0.71,,,False,False,False
BA1,121,b7dc690b-ad28-44ce-bdff-4d61631f85f9,anthropic,claude-sonnet-4-6,animal_lt5,create an animal and describe it in fewer than 5 sentences.,5.0,0,113.0,400.0,0.2825,,,False,False,False
BA1,122,d33bef45-11cf-4f08-b399-7b6ace8a81e8,anthropic,claude-sonnet-4-6,animal_lt5,create an animal and describe it in fewer than 5 sentences.,5.0,1,121.0,400.0,0.3025,,,False,False,False
BA1,123,f6a6bfe1-2e9c-4429-9b73-f60815ea64b1,anthropic,claude-sonnet-4-6,animal_lt5,create an animal and describe it in fewer than 5 sentences.,5.0,2,114.0,400.0,0.285,,,False,False,False
BA1,124,b810bc78-62b6-463d-b0ea-8ca012124a42,anthropic,claude-sonnet-4-6,animal_lt5,create an animal and describe it in fewer than 5 sentences.,5.0,3,118.0,400.0,0.295,,,False,False,False
BA1,125,17192b8f-4afd-41d6-b305-f6bde618bb5b,anthropic,claude-sonnet-4-6,animal_lt5,create an animal and describe it in fewer than 5 sentences.,5.0,4,150.0,400.0,0.375,,,False,False,False
BA1,126,b5543d7c-a33a-4679-86fe-61a932d2df23,anthropic,claude-sonnet-4-6,animal_lt5,create an animal and describe it in fewer than 5 sentences.,5.0,5,138.0,400.0,0.345,,,False,False,False
BA1,127,2e6c0ec4-00e8-49df-ba70-aa964ba18295,anthropic,claude-sonnet-4-6,animal_lt5,create an animal and describe it in fewer than 5 sentences.,5.0,6,117.0,400.0,0.2925,,,False,False,False
BA1,128,cb347551-41d7-4fe5-af20-e93a170aaf6b,anthropic,claude-sonnet-4-6,animal_lt5,create an animal and describe it in fewer than 5 sentences.,5.0,7,129.0,400.0,0.3225,,,False,False,False
BA1,129,98e162fc-eeec-4afb-8d5b-10c26908fa77,anthropic,claude-sonnet-4-6,animal_lt5,create an animal and describe it in fewer than 5 sentences.,5.0,8,125.0,400.0,0.3125,,,False,False,False
BA1,130,7e31ee29-1be9-4aeb-a722-5fc2fdfeb3f8,anthropic,claude-sonnet-4-6,animal_lt5,create an animal and describe it in fewer than 5 sentences.,5.0,9,112.0,400.0,0.28,,,False,False,False
BA1,131,d72c142f-cc01-4a19-8c4f-cefc61c3d31f,anthropic,claude-sonnet-4-6,animal_lt10,create an animal and describe it in fewer than 10 sentences.,10.0,0,188.0,400.0,0.47,,,False,False,False
BA1,132,ffb7c49f-9c35-441f-ba88-22651712c2f8,anthropic,claude-sonnet-4-6,animal_lt10,create an animal and describe it in fewer than 10 sentences.,10.0,1,214.0,400.0,0.535,,,False,False,False
BA1,133,82e9dfe4-3831-4f0f-8cfd-590c323d92b8,anthropic,claude-sonnet-4-6,animal_lt10,create an animal and describe it in fewer than 10 sentences.,10.0,2,168.0,400.0,0.42,,,False,False,False
BA1,134,03dd6385-494d-4b47-8413-19e6aa11dd85,anthropic,claude-sonnet-4-6,animal_lt10,create an animal and describe it in fewer than 10 sentences.,10.0,3,197.0,400.0,0.4925,,,False,False,False
BA1,135,4076f70d-4594-416c-a2e2-b5c7af37ae93,anthropic,claude-sonnet-4-6,animal_lt10,create an animal and describe it in fewer than 10 sentences.,10.0,4,206.0,400.0,0.515,,,False,False,False
BA1,136,8c160f92-bd6e-441e-931e-530b63c80bb7,anthropic,claude-sonnet-4-6,animal_lt10,create an animal and describe it in fewer than 10 sentences.,10.0,5,203.0,400.0,0.5075,,,False,False,False
BA1,137,e1bbeea8-94b7-40ae-9913-5f715547a01b,anthropic,claude-sonnet-4-6,animal_lt10,create an animal and describe it in fewer than 10 sentences.,10.0,6,179.0,400.0,0.4475,,,False,False,False
BA1,138,0ced8186-569c-4d8a-9a80-149363cd9451,anthropic,claude-sonnet-4-6,animal_lt10,create an animal and describe it in fewer than 10 sentences.,10.0,7,243.0,400.0,0.6075,,,False,False,False
BA1,139,b2a267d1-f3b9-473a-8620-d8b416bb06dc,anthropic,claude-sonnet-4-6,animal_lt10,create an animal and describe it in fewer than 10 sentences.,10.0,8,192.0,400.0,0.48,,,False,False,False
